config_id,sweep,x_value,mode,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,ledger_edges,repeats,rollback_precision_mean,rollback_precision_stdev,rollback_recall_mean,rollback_recall_stdev,independent_retention_mean,independent_retention_stdev,target_removed_mean,target_removed_stdev,useful_work_lost_mean,useful_work_lost_stdev,invalid_work_retained_mean,invalid_work_retained_stdev,execution_ms_mean,execution_ms_stdev,rollback_ms_mean,rollback_ms_stdev,rollback_ms_p95,commit_ms_mean,commit_ms_stdev,final_correct_rate,host_clean_rate
8,fault_position,0.75,causal,32,layered,24,0.774194,0.84375,5,27,5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,763.412333,69.829469,159.871,24.896507,184.4229,831.201,220.573818,1.0,1.0
8,fault_position,0.75,causal_without_dependencies,32,layered,24,0.774194,0.84375,5,27,0,3,1.0,0.0,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.0,4.0,0.0,594.417,46.083302,153.239,27.579815,180.431,638.284,15.250919,0.0,1.0
8,fault_position,0.75,temporal,32,layered,24,0.774194,0.84375,5,27,5,3,0.625,0.0,1.0,0.0,0.888889,0.0,1.0,0.0,3.0,0.0,0.0,0.0,687.794667,46.176935,187.159,30.836783,209.9379,703.859667,5.900733,0.0,1.0
8,fault_position,0.75,whole_session,32,layered,24,0.774194,0.84375,5,27,5,3,0.15625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,650.701,108.005074,163.018667,46.691586,205.1688,0.0,0.0,0.0,1.0
9,independence,0.25,causal,32,layered,8,0.258065,0.4375,18,14,23,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,612.983667,48.408686,173.272,20.309226,193.3043,441.228333,19.82365,1.0,1.0
9,independence,0.25,causal_without_dependencies,32,layered,8,0.258065,0.4375,18,14,0,3,1.0,0.0,0.055556,0.0,1.0,0.0,0.055556,0.0,0.0,0.0,17.0,0.0,630.041333,27.420632,133.725667,4.062848,137.721,629.167667,43.980795,0.0,1.0
9,independence,0.25,temporal,32,layered,8,0.258065,0.4375,18,14,23,3,0.75,0.0,1.0,0.0,0.571429,0.0,1.0,0.0,6.0,0.0,0.0,0.0,665.754,63.194091,151.167333,3.740509,154.7433,373.566,33.754122,0.0,1.0
9,independence,0.25,whole_session,32,layered,8,0.258065,0.4375,18,14,23,3,0.5625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,655.511333,68.737277,184.765333,28.748263,213.0368,0.0,0.0,0.0,1.0
10,independence,0.5,causal,32,layered,8,0.258065,0.59375,13,19,17,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,590.535667,63.80238,144.069667,1.775105,145.4317,510.172,45.862793,1.0,1.0
10,independence,0.5,causal_without_dependencies,32,layered,8,0.258065,0.59375,13,19,0,3,1.0,0.0,0.076923,0.0,1.0,0.0,0.076923,0.0,0.0,0.0,12.0,0.0,610.879,35.347212,133.19,0.521036,133.7017,679.219667,39.895012,0.0,1.0
10,independence,0.5,temporal,32,layered,8,0.258065,0.59375,13,19,17,3,0.541667,0.0,1.0,0.0,0.421053,0.0,1.0,0.0,11.0,0.0,0.0,0.0,613.623333,60.754096,154.589,3.235542,157.6864,411.016667,51.883497,0.0,1.0
10,independence,0.5,whole_session,32,layered,8,0.258065,0.59375,13,19,17,3,0.40625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,623.952667,46.207763,155.694667,1.661749,157.329,0.000333,0.000577,0.0,1.0
11,independence,0.75,causal,32,layered,8,0.258065,0.78125,7,25,8,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,732.360667,191.970092,140.27,2.441568,142.38,712.551667,179.751481,1.0,1.0
11,independence,0.75,causal_without_dependencies,32,layered,8,0.258065,0.78125,7,25,0,3,1.0,0.0,0.142857,0.0,1.0,0.0,0.142857,0.0,0.0,0.0,6.0,0.0,637.538,25.459628,133.911667,5.046954,137.9806,717.528667,147.802443,0.0,1.0
11,independence,0.75,temporal,32,layered,8,0.258065,0.78125,7,25,8,3,0.291667,0.0,1.0,0.0,0.32,0.0,1.0,0.0,17.0,0.0,0.0,0.0,703.476,62.257943,183.428667,32.253027,214.1993,450.731333,17.867611,0.0,1.0
11,independence,0.75,whole_session,32,layered,8,0.258065,0.78125,7,25,8,3,0.21875,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,630.472,26.175363,188.24,28.184288,206.7562,0.000333,0.000577,0.0,1.0
