config_id,sweep,x_value,requested_total_steps,requested_shape,requested_fault_fraction,requested_independent_fraction,mode,repeat,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,actual_target_count,ledger_edges,execution_ms,rollback_ms,commit_ms,host_clean_before_commit,merged_correct_after_rollback,rollback_precision,rollback_recall,independent_retention,target_removed,useful_work_lost,invalid_work_retained,false_rollback_count,missed_target_count,final_correct
3,shape,chain,32,chain,0.25,0.5,causal_without_dependencies,2,32,chain,8,0.258065,0.59375,13,19,1,0,2110.239,243.67,2109.426,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
4,shape,fanout,32,fanout,0.25,0.5,causal,0,32,fanout,8,0.258065,0.59375,13,19,13,12,2255.99,287.621,1860.408,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
4,shape,fanout,32,fanout,0.25,0.5,causal,1,32,fanout,8,0.258065,0.59375,13,19,13,12,2083.317,288.299,1992.922,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
4,shape,fanout,32,fanout,0.25,0.5,causal,2,32,fanout,8,0.258065,0.59375,13,19,13,12,2333.562,237.817,1982.126,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
4,shape,fanout,32,fanout,0.25,0.5,temporal,0,32,fanout,8,0.258065,0.59375,13,19,24,12,2172.221,231.617,1840.915,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
4,shape,fanout,32,fanout,0.25,0.5,temporal,1,32,fanout,8,0.258065,0.59375,13,19,24,12,2210.382,230.931,1835.024,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
4,shape,fanout,32,fanout,0.25,0.5,temporal,2,32,fanout,8,0.258065,0.59375,13,19,24,12,2138.472,231.265,1786.456,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
4,shape,fanout,32,fanout,0.25,0.5,whole_session,0,32,fanout,8,0.258065,0.59375,13,19,32,12,2187.657,230.03,0.001,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
4,shape,fanout,32,fanout,0.25,0.5,whole_session,1,32,fanout,8,0.258065,0.59375,13,19,32,12,2316.575,229.829,0.001,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
4,shape,fanout,32,fanout,0.25,0.5,whole_session,2,32,fanout,8,0.258065,0.59375,13,19,32,12,2256.538,229.023,0.0,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
4,shape,fanout,32,fanout,0.25,0.5,causal_without_dependencies,0,32,fanout,8,0.258065,0.59375,13,19,1,0,2339.412,233.362,2050.42,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
4,shape,fanout,32,fanout,0.25,0.5,causal_without_dependencies,1,32,fanout,8,0.258065,0.59375,13,19,1,0,2255.731,235.56,2075.9,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
4,shape,fanout,32,fanout,0.25,0.5,causal_without_dependencies,2,32,fanout,8,0.258065,0.59375,13,19,1,0,2185.934,235.002,2161.219,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
5,shape,layered,32,layered,0.25,0.5,causal,0,32,layered,8,0.258065,0.59375,13,19,13,17,2306.827,239.412,2014.562,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
5,shape,layered,32,layered,0.25,0.5,causal,1,32,layered,8,0.258065,0.59375,13,19,13,17,2290.904,188.979,1967.641,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
